name,photo_url,section,facebook_id,facebook_id_manual,facebook_id_lookup
Chris Ashton,Chris Ashton.jpg,A,1,1,1
Richard Barrington,Richard Barrington.jpg,A,1,1,1
Brad Barritt,Brad Barritt.jpg,A,1,1,1
Marcelo Bosch,Marcelo Bosch.jpg,A,1,1,1
Schalk Brits,Schalk Brits.jpg,A,1,1,1
Kelly Brown,Kelly Brown.jpg,A,1,1,1
Jacques Burger,Jacques Burger.jpg,A,1,1,1
Neil de Kock,Neil de Kock.jpg,A,1,1,1
Petrus Du Plessis,Petrus Du Plessis.jpg,A,1,1,1
Nathan Earle,Nathan Earle.jpg,A,1,1,1
Mike Ellery,Mike Ellery.jpg,A,1,1,1
Owen Farrell,Owen Farrell.jpg,A,1,1,1
Will Fraser,Will Fraser.jpg,A,1,1,1
Jamie George,Jamie George.jpg,A,1,1,1
Rhys Gill,Rhys Gill.jpg,A,1,1,1
Alex Goode,Alex Goode.jpg,A,1,1,1
Jim Hamilton,Jim Hamilton.jpg,A,1,1,1
Matt Hankin,Matt Hankin.jpg,A,1,1,1
Alistair Hargreaves,Alistair Hargreaves.jpg,A,1,1,1
John Afoa,John Afoa.jpg,B,1,1,1
Jame Hudson,Jame Hudson.jpg,B,1,1,1
Richard Hibbard,Richard Hibbard.jpg,B,1,1,1
James Hook,James Hook.jpg,B,1,1,1
Chris Booker,Chris Booker.jpg,B,1,1,1
Greig Laidlow,Greig Laidlow.jpg,B,1,1,1
Dan Murphy,Dan Murphy.jpg,B,1,1,1
Paul Doran Jones,Paul Doran Jones.jpg,B,1,1,1
Sione Kalamafoni,Sione Kalamafoni.jpg,B,1,1,1
Gareth Evans,Gareth Evans.jpg,B,1,1,1
Darren Dawidiuk,Darren Dawidiuk.jpg,B,1,1,1
Steve McColl,Steve McColl.jpg,B,1,1,1
Rob Cook,Rob Cook.jpg,B,1,1,1
Mariano Galarza,Mariano Galarza.jpg,B,1,1,1
Matt Kvesic,Matt Kvesic.jpg,B,1,1,1
Tom Hicks,Tom Hicks.jpg,B,1,1,1
Ross Moriarty,Ross Moriarty.jpg,B,1,1,1
Ben Morgan,Ben Morgan.jpg,B,1,1,1
Bill Meakes,Bill Meakes.jpg,B,1,1,1
Billy Burns,Billy Burns.jpg,B,1,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
